Konto Inhaber;Peter Sample;;;;;;
Datum;09.04.14;;;;;;
Konto;672344523;;;;;;
Auftragskonto;Valutadatum;Buchungstext;Verwendungszweck;Beguenstigter/Zahlungspflichtiger;Betrag;Waehrung;Info
672344523;06.08.13;SONSTIGER EINZUG;EC 59080776 050813062735OC0;DEUTSCHE BAHN MUENCHEN HBF;-30,1;EUR;Umsatz gebucht
672344523;06.08.13;GELDAUTOMAT;06.08/07.07UHR SCHWABHSN.;GA NR00002014 BLZ70051540 0;-50,00;EUR;Umsatz gebucht
672344523;01.08.13;ENTGELTABSCHLUSS;Entgeltabrechnung siehe Anlage;;-5,4;EUR;Umsatz gebucht
672344523;31.07.13;LADEVORGANG PREPAID - KARTE;VOM 29.07.2013 07.12 UHR MOBILFUNKNR015150200426 TELEKOM GMBH;HB-HANDY-LADEN, TAN 889417;-26,4;EUR;Umsatz gebucht
672344523;31.07.13;ONLINE-UEBERWEISUNG;MIETE + NEBENKOSTEN AUGUST DATUM 30.07.2013, 22.10 UHR 1.TAN 481246;Frau Miller;-500;EUR;Umsatz gebucht
672344523;30.07.13;LOHN/GEHALT;BEZUEGE      07.2013;Microsoft Corporation;3000;EUR;Umsatz gebucht
672344523;30.07.13;SONSTIGER EINZUG;EC 59085681 290713080730OC0;DEUTSCHE BAHN ERDWEG;-12,4;EUR;Umsatz gebucht
672344523;24.07.13;SONSTIGER EINZUG;EC 68002786 210713143029OC0;MVG AUTOMAT HOHENZOLLERNPDE;-20,7;EUR;Umsatz gebucht
672344523;23.07.13;GELDAUTOMAT;23.07/19.18UHR ERDWEG;GA NR00002017 BLZ70051540 0;-70,00;EUR;Umsatz gebucht
672344523;22.07.13;LASTSCHRIFT;ELV 00000007313 20.07 10 33;KUK EINKAUFSCENTER GMBH;-23,3;EUR;Umsatz gebucht
672344523;22.07.13;SONSTIGER EINZUG;EC 60945401 210713131144OC0;SEERESTAURANT OLYMPIAPARK;-19,6;EUR;Umsatz gebucht
672344523;22.07.13;LASTSCHRIFT;ELV65509064 20.07 09.26 ME0;GETRAENKEGROSSMARKT ERDWEG;-25,3;EUR;Umsatz gebucht
672344523;19.07.13;UEBERWEISUNGSGUTSCHRIFT;100009475250 050011507475 FAHRSCHEIN OV7ERQ;DB VERTRIEB GMBH;-25,9;EUR;Umsatz gebucht
672344523;18.07.13;SONSTIGER EINZUG;EC 65460720 170713190130OC0;NETTO-EINFACH BESSER 4428;-17,9;EUR;Umsatz gebucht
672344523;18.07.13;GELDAUTOMAT;18.07/07.20UHR SCHWABHSN.;GA NR00002014 BLZ70051540 0;-50,00;EUR;Umsatz gebucht
672344523;17.07.13;LASTSCHRIFT;160718450010324171299944280 ELV65460778 16.07 18.45 ME0;NETTO-EINFACH BESSER 4428;-39,3;EUR;Umsatz gebucht
672344523;16.07.13;SONSTIGER EINZUG;EC 59085681 150713114431OC0;DEUTSCHE BAHN ERDWEG;-27,2;EUR;Umsatz gebucht
672344523;16.07.13;LASTSCHRIFT;ELV 00000004589 13.07 17 50;KUK EINKAUFSCENTER GMBH;-11,3;EUR;Umsatz gebucht
672344523;15.07.13;LASTSCHRIFT;B392875921322 VK 272005842752 WALDSTR 4 ERDWEG ABSCHLAG 07 STROM;E.ON BAYERN VERTRIEB GMBH;-48,1;EUR;Umsatz gebucht
672344523;15.07.13;SONSTIGER EINZUG;EC 59085681 120713134824OC0;DEUTSCHE BAHN ERDWEG;-45,4;EUR;Umsatz gebucht
672344523;15.07.13;SONSTIGER EINZUG;EC 59086841 120713214602OC0;DEUTSCHE BAHN KISSING;-38,8;EUR;Umsatz gebucht
672344523;15.07.13;SONSTIGER EINZUG;EC 59085681 140713144759OC0;DEUTSCHE BAHN ERDWEG;-19,3;EUR;Umsatz gebucht
672344523;12.07.13;SONSTIGER EINZUG;EC 59085681 110713070335OC0;DEUTSCHE BAHN ERDWEG;-26,6;EUR;Umsatz gebucht
672344523;11.07.13;GELDAUTOMAT;11.07/14.58UHR DAH-SUED-1;GA NR00002105 BLZ70051540 0;-50,00;EUR;Umsatz gebucht
672344523;11.07.13;SONSTIGER EINZUG;EC 65460749 100713191642OC0;NETTO-EINFACH BESSER 4428;-6,1;EUR;Umsatz gebucht
672344523;11.07.13;SONSTIGER EINZUG;EC 65577631 100713181647OC0;EXPERT TECHNO MARKT GMBH;-39,6;EUR;Umsatz gebucht
672344523;10.07.13;SONSTIGER EINZUG;EC 65289656 090713120603OC0;NETTO-EINFACH BESSER 8410;-26,6;EUR;Umsatz gebucht
672344523;10.07.13;GELDAUTOMAT;10.07/07.06UHR SCHWABHSN.;GA NR00002014 BLZ70051540 0;-50,00;EUR;Umsatz gebucht
672344523;10.07.13;SONSTIGER EINZUG;EC 65157993 080713180607OC0;DM DROGERIEMARKT SAGT DANKE;-38,4;EUR;Umsatz gebucht
672344523;09.07.13;SONSTIGER EINZUG;EC 60901693 080713192045OC0;JAKO RADSPORT;-18,3;EUR;Umsatz gebucht
672344523;09.07.13;SONSTIGER EINZUG;EC 65289656 080713074924OC0;NETTO-EINFACH BESSER 8410;-11,7;EUR;Umsatz gebucht
672344523;09.07.13;SONSTIGER EINZUG;EC 59085681 080713064516OC0;DEUTSCHE BAHN ERDWEG;-16,1;EUR;Umsatz gebucht
672344523;09.07.13;LASTSCHRIFT; ZAHLUNGSBELEG 003701181186 RGNR.150074929717         24,98  EUR K206636818;1&1 TELECOM GMBH;-44;EUR;Umsatz gebucht
672344523;09.07.13;LASTSCHRIFT;ELV61265840 08.07 18.36 ME0;AWG DACHAU;-19;EUR;Umsatz gebucht
672344523;09.07.13;SONSTIGER EINZUG;EC 65100430 080713185018OC0;ALDI SUED SAGT DANKE;-39,8;EUR;Umsatz gebucht
672344523;08.07.13;LASTSCHRIFT;ELV 00000001031 06.07 14 17;KUK EINKAUFSCENTER GMBH;-39,3;EUR;Umsatz gebucht
672344523;08.07.13;SONSTIGER EINZUG;EC 65289656 050713122146OC0;NETTO-EINFACH BESSER 8410;-18,5;EUR;Umsatz gebucht
672344523;04.07.13;SONSTIGER EINZUG;EC 65289654 030713121253OC0;NETTO-EINFACH BESSER 8410;-22,6;EUR;Umsatz gebucht
672344523;03.07.13;ONLINE-UEBERWEISUNG;MIETE + NEBENKOSTEN DATUM 02.07.2013, 22.30 UHR 1.TAN 076208;Frau Miller;-500;EUR;Umsatz gebucht
672344523;02.07.13;SONSTIGER EINZUG;EC 65460720 010713184459OC0;NETTO-EINFACH BESSER 4428;-19,3;EUR;Umsatz gebucht
672344523;29.06.13;ENTGELTABSCHLUSS;Entgeltabrechnung siehe Anlage;;-18,8;EUR;Umsatz gebucht
672344523;28.06.13;SONSTIGER EINZUG;EC 65460778 270613183052OC0;NETTO-EINFACH BESSER 4428;-44;EUR;Umsatz gebucht
672344523;27.06.13;LOHN/GEHALT;BEZUEGE      06.2013;Microsoft Corporation;3000;EUR;Umsatz gebucht
672344523;27.06.13;SONSTIGER EINZUG;EC 65289656 260613120651OC0;NETTO-EINFACH BESSER 8410;-26,7;EUR;Umsatz gebucht
672344523;27.06.13;GELDAUTOMAT;27.06/06.42UHR SCHWABHSN.;GA NR00002014 BLZ70051540 0;-50,00;EUR;Umsatz gebucht
672344523;26.06.13;SONSTIGER EINZUG;EC 59080777 250613081012OC0;DEUTSCHE BAHN MUENCHEN HBF;-34,5;EUR;Umsatz gebucht
672344523;26.06.13;SONSTIGER EINZUG;EC 59080777 250613080922OC0;DEUTSCHE BAHN MUENCHEN HBF;-17,3;EUR;Umsatz gebucht
672344523;18.06.13;SONSTIGER EINZUG;EC 54223899 160613162257OC0;PIZZERIA PICCANTE;-41,3;EUR;Umsatz gebucht
672344523;17.06.13;LASTSCHRIFT;150618360009541171299944280 ELV65460778 15.06 18.36 ME0;NETTO-EINFACH BESSER 4428;-9,8;EUR;Umsatz gebucht
672344523;14.06.13;SONSTIGER EINZUG;EC 65289656 130613120025OC0;NETTO-EINFACH BESSER 8410;-38,2;EUR;Umsatz gebucht
672344523;14.06.13;LASTSCHRIFT;B510000892795 VK 272005842752 WALDSTR 4 ERDWEG ABSCHLAG 06 STROM;E.ON BAYERN VERTRIEB GMBH;-9,1;EUR;Umsatz gebucht
672344523;14.06.13;GELDAUTOMAT;14.06/07.14UHR SCHWABHSN.;GA NR00002014 BLZ70051540 0;-50,00;EUR;Umsatz gebucht
672344523;13.06.13;SONSTIGER EINZUG;EC 65460749 120613183102OC0;NETTO-EINFACH BESSER 4428;-44;EUR;Umsatz gebucht
672344523;11.06.13;LASTSCHRIFT; ZAHLUNGSBELEG 003661076252 RGNR.150070150656         24,98  EUR K206636818;1&1 TELECOM GMBH;-15,3;EUR;Umsatz gebucht
672344523;11.06.13;SONSTIGER EINZUG;EC 60122771 100613165556OC0;DANKE, IHR LIDL;-15,4;EUR;Umsatz gebucht
672344523;10.06.13;SONSTIGER EINZUG;EC 60491535 080613182511OC0;NORMA SAGT DANKE;-42,1;EUR;Umsatz gebucht
672344523;10.06.13;SONSTIGER EINZUG;EC 60491535 070613185440OC0;NORMA SAGT DANKE;-10,7;EUR;Umsatz gebucht
672344523;07.06.13;GELDAUTOMAT;07.06/07.47UHR SCHWABHSN.;GA NR00002014 BLZ70051540 0;-10,00;EUR;Umsatz gebucht
672344523;05.06.13;SONSTIGER EINZUG;EC 65289654 040613174209OC0;NETTO-EINFACH BESSER 8410;-49,1;EUR;Umsatz gebucht
672344523;04.06.13;GELDAUTOMAT;04.06/18.20UHR SCHWABHSN.;GA NR00002014 BLZ70051540 0;-40,00;EUR;Umsatz gebucht
672344523;04.06.13;ONLINE-UEBERWEISUNG;MIETE + NEBENKOSTEN DATUM 04.06.2013, 14.11 UHR 1.TAN 806104;Frau Miller;-500;EUR;Umsatz gebucht
672344523;04.06.13;SONSTIGER EINZUG;EC 65289656 030613171810OC0;NETTO-EINFACH BESSER 8410;-11,3;EUR;Umsatz gebucht
672344523;04.06.13;LASTSCHRIFT;100009475250 050011239057 FAHRSCHEIN YMAA8L;DB VERTRIEB GMBH;-32,2;EUR;Umsatz gebucht
672344523;03.06.13;LASTSCHRIFT;50.501.834718     13.05.13 GEBUENDELTE SCHADENVERS. D-85253 ERDWEG, WALDSTR. 4 GSV;ASSTEL SACHVERS. AG;-5,2;EUR;Umsatz gebucht
672344523;03.06.13;SONSTIGER EINZUG;EC 54163406 310513074036OC0;EDEKA LEGAN;-45,9;EUR;Umsatz gebucht
672344523;03.06.13;LASTSCHRIFT;010617200074827171230021590 ELV65104637 01.06 17.20 ME0;PENNY SAGT DANKE 66300215;-8,7;EUR;Umsatz gebucht
672344523;01.06.13;ENTGELTABSCHLUSS;Entgeltabrechnung siehe Anlage;;-38,6;EUR;Umsatz gebucht
672344523;31.05.13;GELDAUTOMAT;31.05/18.42UHR DAH-SUED-1;GA NR00002105 BLZ70051540 0;-50,00;EUR;Umsatz gebucht
672344523;31.05.13;LASTSCHRIFT;ELV 00000000887 29.05 18 53;KUK EINKAUFSCENTER GMBH;-14,2;EUR;Umsatz gebucht
672344523;31.05.13;SONSTIGER EINZUG;EC 59085681 300513064546OC0;DEUTSCHE BAHN ERDWEG;-15,3;EUR;Umsatz gebucht
672344523;31.05.13;SONSTIGER EINZUG;EC 59085017 290513071501OC0;DEUTSCHE BAHN DACHAU BAHNH;-49,7;EUR;Umsatz gebucht
672344523;31.05.13;LASTSCHRIFT;MEDIEN VS.233115-041 PHV    EUR 00000000035,35;MEDIEN-VERSICHERUNG A.G.;-8,1;EUR;Umsatz gebucht
672344523;29.05.13;LOHN/GEHALT;BEZUEGE      05.2013;Microsoft Corporation;3000;EUR;Umsatz gebucht
672344523;28.05.13;SONSTIGER EINZUG;EC 59084325 270513064612OC0;DEUTSCHE BAHN MUENCHEN HBF;-29,3;EUR;Umsatz gebucht
672344523;27.05.13;LASTSCHRIFT;ELV 00000007597 22.05 19 10;KUK EINKAUFSCENTER GMBH;-39,4;EUR;Umsatz gebucht
672344523;24.05.13;SONSTIGER EINZUG;EC 59085019 230513114619OC0;DEUTSCHE BAHN DACHAU BAHNH;-42,4;EUR;Umsatz gebucht
672344523;24.05.13;SONSTIGER EINZUG;EC 69515863 220513173111OC0;DER RAHMEN, DACHAU;-42,7;EUR;Umsatz gebucht
672344523;23.05.13;SONSTIGER EINZUG;EC 54159036 220513180300OC0;KOELBL BUEROBEDARF;-12;EUR;Umsatz gebucht
672344523;23.05.13;SONSTIGER EINZUG;EC 58203610 210513175331OC0;DEUTSCHE POST*DACHAU     DE;-11,7;EUR;Umsatz gebucht
672344523;22.05.13;SONSTIGER EINZUG;EC 60491535 210513192641OC0;NORMA SAGT DANKE;-11,5;EUR;Umsatz gebucht
672344523;21.05.13;LASTSCHRIFT;ELV 00000000576 18.05 13 52;KUK EINKAUFSCENTER GMBH;-5,9;EUR;Umsatz gebucht
672344523;21.05.13;SONSTIGER EINZUG;EC 65289654 170513170051OC0;NETTO-EINFACH BESSER 8410;-33,3;EUR;Umsatz gebucht
672344523;21.05.13;LASTSCHRIFT;180516590080702171200003340 ELV65091957 18.05 16.59 ME0;OBI SAGT DANKE;-41;EUR;Umsatz gebucht
672344523;21.05.13;SONSTIGER EINZUG;EC 68047329 150513191057OC0;MVG AUTOMAT LAIMER PL. IIDE;-18,2;EUR;Umsatz gebucht
672344523;18.05.13;GELDAUTOMAT;18.05/13.59UHR ERDWEG;GA NR00002017 BLZ70051540 0;-50,00;EUR;Umsatz gebucht
672344523;17.05.13;LASTSCHRIFT;100009475250 040009808144 FAHRSCHEIN OV7ERQ;DB VERTRIEB GMBH;-24,5;EUR;Umsatz gebucht
672344523;15.05.13;SONSTIGER EINZUG;EC 65289656 140513172643OC0;NETTO-EINFACH BESSER 8410;-45,7;EUR;Umsatz gebucht
672344523;15.05.13;LASTSCHRIFT;B515000964771 VK 272005842752 WALDSTR 4 ERDWEG ABSCHLAG 05 STROM;E.ON BAYERN VERTRIEB GMBH;-6,3;EUR;Umsatz gebucht
672344523;14.05.13;SONSTIGER EINZUG;EC 59085681 130513064438OC0;DEUTSCHE BAHN ERDWEG;-28,6;EUR;Umsatz gebucht
672344523;10.05.13;GELDAUTOMAT;10.05/18.14UHR DAH-SUED-1;GA NR00002105 BLZ70051540 0;-50,00;EUR;Umsatz gebucht
672344523;10.05.13;LASTSCHRIFT; ZAHLUNGSBELEG 002364466774 RGNR.150065430963         24,98  EUR K206636818;1&1 TELECOM GMBH;-39,7;EUR;Umsatz gebucht
672344523;06.05.13;LASTSCHRIFT;ELV94036304 03.05 19.59 ME0;IKEA 063 ECHING;-16,5;EUR;Umsatz gebucht
672344523;06.05.13;SONSTIGER EINZUG;EC 59085017 030513223213OC0;DEUTSCHE BAHN DACHAU BAHNH;-38,9;EUR;Umsatz gebucht
672344523;06.05.13;SONSTIGER EINZUG;EC 59085020 030513132816OC0;DEUTSCHE BAHN DACHAU BAHNH;-31,7;EUR;Umsatz gebucht
672344523;06.05.13;ONLINE-UEBERWEISUNG;DATUM 05.05.2013, 16.51 UHR 1.TAN 128061;Frau Miller;-500;EUR;Umsatz gebucht
672344523;03.05.13;SONSTIGER EINZUG;EC 59085681 020513064546OC0;DEUTSCHE BAHN ERDWEG;-22,2;EUR;Umsatz gebucht
672344523;02.05.13;SONSTIGER EINZUG;EC 59080768 010513142924OC0;DEUTSCHE BAHN MUENCHEN HBF;-38;EUR;Umsatz gebucht
672344523;01.05.13;ENTGELTABSCHLUSS;Entgeltabrechnung siehe Anlage;;-49,3;EUR;Umsatz gebucht
672344523;30.04.13;SONSTIGER EINZUG;EC 59085020 290413181222OC0;DEUTSCHE BAHN DACHAU BAHNH;-38,2;EUR;Umsatz gebucht
672344523;30.04.13;GELDAUTOMAT;30.04/06.50UHR SCHWABHSN.;GA NR00002014 BLZ70051540 0;-100,00;EUR;Umsatz gebucht
672344523;29.04.13;LOHN/GEHALT;BEZUEGE      04.2013;Microsoft Corporation;3000;EUR;Umsatz gebucht
672344523;26.04.13;LASTSCHRIFT;250419080102947171219930220 ELV65120259 25.04 19.08 ME0;TCHIBO FILIALE 3022, DANKE.;-8;EUR;Umsatz gebucht
672344523;22.04.13;SONSTIGER EINZUG;EC 58096665 200413171034OC0;TABAKSHOP DACHAU I. AEZ;-26,7;EUR;Umsatz gebucht
672344523;22.04.13;LASTSCHRIFT;ELV61244808 20.04 17.03 ME0 VIELEN DANK IHR AEZ MARKT;AEZ MARKT;-43;EUR;Umsatz gebucht
672344523;22.04.13;SONSTIGER EINZUG;EC 65215621 200413163029OC0;ALDI SUED SAGT DANKE;-18,3;EUR;Umsatz gebucht
672344523;22.04.13;SONSTIGER EINZUG;EC 65577581 200413173751OC0;EXPERT TECHNO MARKT GMBH;-26,3;EUR;Umsatz gebucht
672344523;22.04.13;SONSTIGER EINZUG;EC 60122710 200413160729OC0;DANKE, IHR LIDL;-46,1;EUR;Umsatz gebucht
672344523;15.04.13;LASTSCHRIFT;ELV 00000009242 11.04 19 37;KUK EINKAUFSCENTER GMBH;-42,5;EUR;Umsatz gebucht
672344523;15.04.13;LASTSCHRIFT;B399288396089 VK 272005842752 WALDSTR 4 ERDWEG ABSCHLAG 04 STROM;E.ON BAYERN VERTRIEB GMBH;-15,6;EUR;Umsatz gebucht
672344523;10.04.13;SONSTIGER EINZUG;EC 54159036 090413173941OC0;KOELBL BUEROBEDARF;-38,4;EUR;Umsatz gebucht
672344523;09.04.13;GELDAUTOMAT;09.04/18.13UHR DAH-SUED-2;GA NR00002006 BLZ70051540 0;-100,00;EUR;Umsatz gebucht
672344523;09.04.13;LASTSCHRIFT; ZAHLUNGSBELEG 003571220461 RGNR.150061104256         64,88  EUR K206636818;1&1 TELECOM GMBH;-35,1;EUR;Umsatz gebucht
672344523;08.04.13;SONSTIGER EINZUG;EC 65091951 060413141054OC0;OBI SAGT DANKE;-22,6;EUR;Umsatz gebucht
672344523;08.04.13;LASTSCHRIFT;ELV 00000004785 02.04 18 39;KUK EINKAUFSCENTER GMBH;-45;EUR;Umsatz gebucht
672344523;03.04.13;SONSTIGER EINZUG;EC 59085017 020413174135OC0;DEUTSCHE BAHN DACHAU BAHNH;-41,6;EUR;Umsatz gebucht
672344523;03.04.13;LASTSCHRIFT; ZAHLUNGSBELEG 003670866332 RGNR.000548561617         59,59  EUR K206636818;1&1 TELECOM GMBH;-23,5;EUR;Umsatz gebucht
672344523;03.04.13;AUFTRAG;MIETE + NEBENKOSTEN 03.04.13 07.56 DAH-SUED;Frau Miller;-500;EUR;Umsatz gebucht
672344523;02.04.13;LASTSCHRIFT;ELV61265840 28.03 18.43 ME0;AWG DACHAU;-28,3;EUR;Umsatz gebucht
672344523;02.04.13;LASTSCHRIFT;ELV65509064 30.03 10.57 ME0;GETRAENKEGROSSMARKT ERDWEG;-32,5;EUR;Umsatz gebucht
672344523;02.04.13;SONSTIGER EINZUG;EC 54036325 300313192631OC0;IKEA 063 ECHING;-36,6;EUR;Umsatz gebucht
672344523;02.04.13;LASTSCHRIFT;300319550242617171200005372 ELV65168613 30.03 19.55 ME0;OBI SAGT DANKE;-47,7;EUR;Umsatz gebucht
672344523;02.04.13;SONSTIGER EINZUG;EC 59085017 290313102458OC0;DEUTSCHE BAHN DACHAU BAHNH;-28,1;EUR;Umsatz gebucht
672344523;02.04.13;SONSTIGER EINZUG;EC 59085681 300313134715OC0;DEUTSCHE BAHN ERDWEG;-37,8;EUR;Umsatz gebucht
672344523;02.04.13;LASTSCHRIFT;ELV 00000007779 25.03 18 40;KUK EINKAUFSCENTER GMBH;-26,3;EUR;Umsatz gebucht
672344523;30.03.13;GELDAUTOMAT;30.03/11.07UHR ERDWEG;GA NR00002017 BLZ70051540 0;-100,00;EUR;Umsatz gebucht
672344523;29.03.13;ENTGELTABSCHLUSS;Entgeltabrechnung siehe Anlage;;-17,8;EUR;Umsatz gebucht
672344523;27.03.13;LOHN/GEHALT;BEZUEGE      03.2013;Microsoft Corporation;3000;EUR;Umsatz gebucht
672344523;18.03.13;LASTSCHRIFT;ELV94036329 16.03 15.51 ME0;IKEA 063 ECHING;-49,3;EUR;Umsatz gebucht
672344523;18.03.13;SONSTIGER EINZUG;EC 59085681 160313085226OC0;DEUTSCHE BAHN ERDWEG;-15,2;EUR;Umsatz gebucht
672344523;15.03.13;LASTSCHRIFT;B372213243398 VK 272005842752 WALDSTR 4 ERDWEG ABSCHLAG 03 STROM;E.ON BAYERN VERTRIEB GMBH;-44,4;EUR;Umsatz gebucht
672344523;08.03.13;LASTSCHRIFT;ELV 00000001747 04.03 19 41;KUK EINKAUFSCENTER GMBH;-21,4;EUR;Umsatz gebucht
672344523;08.03.13;GELDAUTOMAT;07.03/21.22UHR R-BANKM-B4 EUR      20,00 ENTGELT 3,90;GA NR00002467 BLZ52410300 0;-23,90;EUR;Umsatz gebucht
672344523;08.03.13;LASTSCHRIFT;070319020044563171221302100 ELV65238047 07.03 19.02 ME0;KARSTADT PERFETTO SAGT DANK;-48,1;EUR;Umsatz gebucht
672344523;08.03.13;SONSTIGER EINZUG;EC 59085018 070313173956OC0;DEUTSCHE BAHN DACHAU BAHNH;-32,4;EUR;Umsatz gebucht
672344523;05.03.13;SONSTIGER EINZUG;EC 59085020 040313072341OC0;DEUTSCHE BAHN DACHAU BAHNH;-20,7;EUR;Umsatz gebucht
672344523;04.03.13;LASTSCHRIFT;ELV94048324 02.03 16.21 ME0;IKEA 063 ECHING;-36,2;EUR;Umsatz gebucht
672344523;04.03.13;LASTSCHRIFT;020311550077819171200003340 ELV65091957 02.03 11.55 ME0;OBI SAGT DANKE;-16,3;EUR;Umsatz gebucht
672344523;04.03.13;SONSTIGER EINZUG;EC 65448215 020313193414OC0;REWE SAGT DANKE 46655759;-23,7;EUR;Umsatz gebucht
672344523;29.02.13;ENTGELTABSCHLUSS;Entgeltabrechnung siehe Anlage;;-12,8;EUR;Umsatz gebucht
672344523;27.02.13;LOHN/GEHALT;BEZUEGE      02.2013;Microsoft Corporation;3000;EUR;Umsatz gebucht
